Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,HIV deaths,,HIV diagnoses,,HIV prevalence,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
"2012","Missouri","310","6.2","152","3.0","5,863","116.9","189","3.8","532","10.6","10,735","214.0"
"2012","Montana","13","1.5","4","0.5","299","35.5","5","0.6","20","2.4","489","58.0"
"2012","Nebraska","43","2.8","25","1.7","965","63.7","32","2.1","81","5.3","1,818","120.1"
"2012","Nevada","227","10.0","136","6.0","3,655","161.0","159","7.0","364","16.0","7,097","312.6"
"2012","New Hampshire","27","2.4","16","1.4","611","53.9","22","1.9","48","4.2","1,117","98.5"
"2012","New Jersey","793","10.7","530","7.2","17,977","242.7","643","8.7","1,277","17.2","33,142","447.4"
"2012","New Mexico","84","4.9","41","2.4","1,792","104.5","57","3.3","115","6.7","2,943","171.6"
"2012","New York","2,215","13.4","1,710","10.3","72,845","440.4","2,036","12.3","3,517","21.3","118,632","717.3"
"2012","North Carolina","777","9.6","358","4.4","11,757","145.1","518","6.4","1,228","15.2","26,153","322.8"
"2012","North Dakota","8","1.4","3","0.5","112","19.1","3","0.5","9","1.5","240","41.0"
"2012","Ohio","546","5.7","255","2.6","8,869","91.9","349","3.6","1,015","10.5","18,111","187.6"
